features,MSE,MAE,R^2,Adjusted R^2,RMSE
"('425 %Al', 'TC55552', 'DI55152', 'FC55555')",119.71243334956766,7.560374516571662,0.019905406855087793,0.01958287469773856,10.94131771541105
"('425 %Al', 'TC55552', 'DI55152', 'FC55576')",118.43687331294743,7.514842384151182,0.03034851172016606,0.03002941620777444,10.882870637517815
"('425 %Al', 'TC55552', 'DI55152', 'FC55009')",121.14133843362944,7.640920605977658,0.008206854684514209,0.007880472736240929,11.006422599265823
"('425 %Al', 'TC55552', 'DI55152', 'TI55023')",122.02527973129455,7.681932758231137,0.0009699615543805606,0.000641198069906479,11.046505317578703
"('425 %Al', 'TC55552', 'DI55102', 'AYC55580')",118.10801225912266,7.474338048716965,0.03304092162055128,0.03272271213363087,10.867751021215136
"('425 %Al', 'TC55552', 'DI55102', 'FC55569')",116.44246780530143,7.401164923532417,0.04667685790685161,0.046363135770416175,10.79085111588986
"('425 %Al', 'TC55552', 'DI55102', 'FC55555')",116.20185529796059,7.376088199039344,0.04864677039538312,0.048333696523032765,10.779696438117384
"('425 %Al', 'TC55552', 'DI55102', 'FC55576')",114.07133032229463,7.299301425513487,0.0660895367880181,0.06578220302801419,10.68041807806673
"('425 %Al', 'TC55552', 'DI55102', 'FC55009')",117.16523675330946,7.439738887934532,0.04075949478745711,0.0404438253492958,10.824289203144447
"('425 %Al', 'TC55552', 'DI55102', 'TI55023')",118.28763446982494,7.515480851391261,0.03157034122558122,0.03125164779612033,10.87601188257097
"('425 %Al', 'TC55552', 'AYC55580', 'FC55569')",118.14919367432675,7.492431722246759,0.032703766312198956,0.032385445873305385,10.869645517418071
"('425 %Al', 'TC55552', 'AYC55580', 'FC55555')",118.52766795500422,7.480969785624898,0.029605169234540152,0.029285829101009853,10.887041285629637
"('425 %Al', 'TC55552', 'AYC55580', 'FC55576')",116.44576685428515,7.431431898612782,0.04664984834751851,0.04633611732270482,10.791003978049732
"('425 %Al', 'TC55552', 'AYC55580', 'FC55009')",119.8255755406868,7.561774494575138,0.018979103323618962,0.018656266335819294,10.94648690405679
"('425 %Al', 'TC55552', 'AYC55580', 'TI55023')",120.42317487575609,7.593924957492477,0.014086513132438805,0.013762066077936952,10.973749353605452
"('425 %Al', 'TC55552', 'FC55569', 'FC55555')",116.62030807994957,7.415430902126294,0.045220866354854006,0.044906665076813734,10.799088298553242
"('425 %Al', 'TC55552', 'FC55569', 'FC55576')",117.77910424394312,7.47818971771187,0.035733715997040005,0.03541639266211516,10.852608177021002
"('425 %Al', 'TC55552', 'FC55569', 'FC55009')",119.16457065617128,7.550911944773406,0.024390799462684853,0.024069743370364938,10.916252592175177
"('425 %Al', 'TC55552', 'FC55569', 'TI55023')",119.82377324018401,7.557876814967144,0.018993858891846793,0.018671026759849108,10.9464045805088
"('425 %Al', 'TC55552', 'FC55555', 'FC55576')",116.27124420244179,7.3979347116382375,0.048078678274928954,0.047765417453299985,10.782914457716977
"('425 %Al', 'TC55552', 'FC55555', 'FC55009')",119.19372935977277,7.5222546743756595,0.02415207498818106,0.02383094033577071,10.917588074285124
"('425 %Al', 'TC55552', 'FC55555', 'TI55023')",119.80469011444748,7.558435976230399,0.019150093861192485,0.018827313143417568,10.945532883987307
"('425 %Al', 'TC55552', 'FC55576', 'FC55009')",117.60216889396723,7.476146218244002,0.037182298863459584,0.036865452232069496,10.844453369993678
"('425 %Al', 'TC55552', 'FC55576', 'TI55023')",118.42467914080729,7.502860352565365,0.030448346314184582,0.030129283655628947,10.882310376974518
"('425 %Al', 'TC55552', 'FC55009', 'TI55023')",121.15025805527581,7.628056649201451,0.008133829078869947,0.007807423099134514,11.006827792569293
"('425 %Al', 'DI55152', 'DI55102', 'AYC55580')",118.32510356902897,7.521003325303541,0.03126357892435361,0.030944784544731818,10.877734303108758
"('425 %Al', 'DI55152', 'DI55102', 'FC55569')",116.89569984669069,7.459598083085107,0.04296621348357332,0.04265127023831905,10.811831475133651
"('425 %Al', 'DI55152', 'DI55102', 'FC55555')",116.2505708156942,7.396304245078129,0.04824793282941742,0.04793472770653118,10.781955797335389
"('425 %Al', 'DI55152', 'DI55102', 'FC55576')",114.62410869457239,7.3590666131356315,0.06156389915191007,0.06125507608293501,10.70626492734849
"('425 %Al', 'DI55152', 'DI55102', 'FC55009')",117.54216927264021,7.489074723720725,0.03767352022458281,0.03735683524563571,10.84168664335214
