,425 SAO Al,Octanol PPM,Hexanol PPM,Ethanol PPM,Dodecanol PPM,Decanol PPM,Butanol PPM,%nC8OH,%nC6OH,%nC12OH,%nC10OH,%Al2O3_bM,AYC55580,DI55102,DI55152,DI55580,FC42428,FC52018,FC55003,FC55009,FC55102,FC55152,FC55552,FC55555,FC55569,FC55576,FFC55553,FFC55555,FYC55553,II52554,LC52572,LC55553,LC55555,LC55557,LC55568,LC90366,LC90368,PI55004,PI55020,PI55560,TC52015,TC55552,TC55553,TC55555,TC55566,TI40050,TI52014,TI55013,TI55014,TI55015,TI55016,TI55017,TI55021,TI55023,VI52558B
2041,6.2105,14.6275,18.46,39.005,7.35,16.495,345.555,8.8225,10.1825,4.85,10.735,11.98825,8.60629,1.011681,0.905188,0.978625,38755.6875,25954.7375,6949.89625,639.46325,42880.6625,39029.8625,39143.8625,30107.6375,6473.33,20.255221,0.961086,0.76924,37620.8375,134.5025,62.481,65.966237,64.02055,64.899088,41.823363,44.98985,0.249411,2.647861,-1.252909,1.234745,66.6343,170.09375,179.48225,183.14225,203.5235,67.675925,117.46175,195.69525,197.409,192.817125,190.233625,175.147375,237.134625,219.792,1.8178
2042,6.1655,5.435,5.805,11.81,1.94,3.9225,85.5825,5.435,5.805,1.94,3.9225,11.513,7.445183,1.00619,0.898873,0.968484,35868.625,29016.9,4996.09625,266.721738,37951.4,36600.05,35998.375,27257.9875,6379.23375,18.36919,0.970319,0.760103,34926.175,145.161375,63.364487,65.929425,63.945988,63.66815,41.459625,44.5315,0.21374,3.054535,-0.657302,1.658145,83.368875,175.82875,174.569,183.96675,200.162125,82.249612,126.64425,199.38,201.25825,196.5285,193.117125,177.39175,239.560625,221.09475,2.060172
2043,6.15,4.33,3.325,28.2375,6.875,10.46,36.2675,4.33,3.325,6.875,10.46,11.413,6.8963,1.000609,0.897271,0.963818,37916.6125,37235.5875,4306.59375,346.306875,41922.2375,39810.975,39026.3625,29649.6,6375.52,18.765962,0.97079,0.761244,37823.3,171.317875,63.376825,65.855612,63.93035,63.426462,41.38295,44.908537,0.234835,3.300203,-0.819263,1.840772,77.308587,175.739,180.43625,184.1845,193.751625,82.779475,128.0235,200.760875,201.524875,197.24,193.393,178.791375,241.30825,221.583625,1.825055
2044,6.154,14.9175,22.235,76.9775,8.4575,26.75,417.3925,7.5075,10.9175,4.215,12.615,10.56925,6.8963,1.000609,0.897271,0.963818,37916.6125,37235.5875,4306.59375,346.306875,41922.2375,39810.975,39026.3625,29649.6,6375.52,18.765962,0.97079,0.761244,37823.3,171.317875,63.376825,65.855612,63.93035,63.426462,41.38295,44.908537,0.234835,3.300203,-0.819263,1.840772,77.308587,175.739,180.43625,184.1845,193.751625,82.779475,128.0235,200.760875,201.524875,197.24,193.393,178.791375,241.30825,221.583625,1.825055
2045,6.1805,10.11,16.7,60.73,4.245,8.9225,426.5125,6.9625,10.93,3.4275,6.36,11.05425,6.861366,0.999548,0.896037,0.96358,38138.925,35409.1375,4351.915,339.32875,42295.9625,39887.225,39177,29796.65,6385.32375,17.469912,0.972272,0.762518,37991.35,165.67025,63.3204,65.800162,63.946038,63.268838,41.36,45.988775,0.234835,3.259465,-0.8774,1.793924,74.610287,175.33175,180.8985,184.180375,194.668125,78.793087,125.34175,200.52625,201.498375,197.215875,193.4255,178.755875,241.4905,221.506375,1.834108
2046,6.1645,3.515,2.74,15.2775,3.655,6.38,24.0925,3.515,2.74,3.655,6.38,11.30225,6.715069,0.992221,0.890174,0.96169,39378.15,28237.85,5239.82375,718.302125,42036.2125,38343.775,38227.45,29858.05,6446.71375,112.897225,0.980397,0.780312,37543.65,141.16525,58.478262,65.32525,63.996738,64.033862,41.491488,56.4386,0.238074,3.633725,-0.79346,2.124299,60.099738,172.912875,186.641375,183.942,201.131875,55.804025,112.277,198.02,200.9395,196.245625,192.767375,177.33875,249.718375,222.788875,1.789833
2047,6.086,2.5375,1.9675,15.2925,2.28,4.525,18.4675,2.5375,1.9675,2.28,4.525,11.22025,6.45641,1.000521,0.905804,0.960456,29669.9,24253.075,5147.23125,492.521289,38642.675,35318.8,34951.2375,27172.7375,6226.42625,139.28425,0.991227,0.778287,34590.5375,130.408125,55.950862,66.703913,73.206325,65.876312,41.226475,67.329825,0.236454,3.171562,-1.033949,1.70272,66.050138,172.93125,175.709375,183.6465,204.112,68.481063,121.662125,201.700375,195.048125,189.81225,188.972125,184.8435,250.17775,221.418625,2.166444
2048,5.9505,2.7175,1.9925,19.635,2.2325,3.1325,13.1925,2.7175,1.9925,2.2325,3.1325,10.827,5.361244,0.994623,0.903091,0.951436,38327.525,30095.6625,4612.46125,86.98875,44579.5375,40231.3625,38942.5625,30414.1375,6126.22,223.647375,0.988829,0.780684,38555.55,150.3085,63.311437,63.918412,72.098912,67.018025,40.973838,65.573988,0.233992,3.526025,-0.86715,1.984146,74.1653,175.455375,175.3615,183.98125,195.078875,76.4104,130.69125,202.866625,196.799875,192.770875,190.248125,189.096,253.107625,222.391875,2.632284
2049,5.93,1.8925,1.575,14.2125,0.93,1.2,6.165,1.8925,1.575,0.93,1.2,10.88875,5.612068,0.990446,0.896795,0.953343,38229.775,29283.325,4941.11625,620.02675,44465.4625,39640.8625,39001.1875,30439.975,6212.885,136.12825,0.988109,0.779728,38521.825,146.904625,63.012312,64.092013,71.987088,66.8456,41.313637,66.239638,0.229976,3.53114,-0.520612,1.922047,70.994163,176.24525,187.203875,183.910375,196.2655,71.947338,128.81925,209.362125,201.555875,196.9845,193.10875,191.83475,249.994375,222.253,2.477321
2050,6.0125,2.5525,1.79,7.9875,1.7425,1.68,4.4675,2.5525,1.79,1.7425,1.68,10.6735,5.090676,0.99519,0.901293,0.950779,24441.1125,20821.9375,5233.6575,37.068275,32280.925,29726.775,30011.8,23343.1125,6158.9875,188.02275,0.991951,0.780887,29712.7125,119.79075,63.334812,67.032275,70.876387,66.885813,40.447412,60.2713,0.242933,2.745235,-0.924604,1.225228,73.069987,172.564625,170.758125,183.85475,195.03625,71.830025,125.781375,199.690625,194.232125,190.2285,188.8145,187.583,248.081375,220.027625,2.623929
2051,6.0165,2.5825,1.7925,2.6,0.7925,1.6075,2.6625,2.5825,1.7925,0.7925,1.6075,11.24875,5.83933,0.989879,0.898578,0.956839,27673.8875,18792.3875,5263.735,273.0875,31814.2375,29503.55,29992.425,23375.9,6051.61,200.754625,0.979041,0.779288,29347.7875,113.7185,62.9413,67.130475,71.09065,67.036012,40.871787,51.5117,0.23646,2.589383,-0.802879,1.044644,74.557938,170.008625,178.768875,184.076125,195.069,75.360375,126.769125,202.878875,196.500875,191.999625,190.085625,188.53075,249.83325,219.485875,2.252394
2052,5.9665,2.06,1.675,2.635,0.53,1.2575,2.6575,2.06,1.675,0.53,1.2575,11.4925,5.64265,0.983576,0.89727,0.953012,28865.725,20613.3,5111.8775,505.910125,32919.9,29873.225,31056.2375,24154.9125,6075.36375,188.240625,0.979389,0.776727,30424.875,119.542125,63.283288,67.049162,71.150612,66.994475,41.0095,45.984975,1.144567,3.87466,-0.573483,2.370539,74.296963,171.314375,181.241375,184.052,195.489,76.70655,126.399125,204.0825,197.14175,192.49825,190.230625,188.115375,253.770125,223.42775,2.124786
2053,5.917,2.2575,1.68,2.0475,0.5825,1.245,2.565,2.2575,1.68,0.5825,1.245,11.4085,5.625391,0.981797,0.899112,0.953947,29549.3125,25175.5875,5267.91625,644.154375,33413.0125,30796.1875,31878.8375,24868.3875,6393.3625,159.077875,0.981391,0.779534,31294.725,133.996625,63.012375,67.9862,70.9627,67.348587,40.506113,47.83155,0.25103,3.276295,-0.989319,1.644658,77.173637,171.169875,182.1225,183.703,196.11,81.8012,128.417125,204.077125,197.00875,192.484625,190.047625,187.475625,244.945,221.52575,2.287796
2054,5.9105,4.03,2.88,4.1175,1.2025,2.82,5.3375,4.03,2.88,1.2025,2.82,10.7785,5.194166,0.978761,0.901488,0.950749,34822.075,25984.5,4655.61,303.617025,33827.4,30901.8875,32166.925,25096.9875,5872.62875,168.499375,0.986044,0.779688,31703.8125,128.945125,67.6334,68.131488,70.963725,66.855662,40.739913,46.817113,0.260748,3.263694,-0.81853,1.688707,88.317562,174.988375,176.068125,183.975,207.736,80.39925,126.677375,202.913875,196.553,192.6825,190.03075,187.055875,249.52275,221.431875,2.843184
2055,6.026,4.235,3.3425,6.0575,1.3425,2.6475,6.09,4.235,3.3425,1.3425,2.6475,11.34925,4.925573,0.971846,0.897245,0.949293,36264.9625,33881.9125,4615.0275,161.143875,40492.35,36433.225,36696.3,28571.65,5965.61,177.353625,0.989428,0.780066,36342.4,151.62775,63.452675,68.216288,70.980863,67.026787,41.47155,58.561413,0.246172,2.952306,-0.865326,1.253376,75.683238,176.907875,178.284125,183.840375,204.923,79.500825,128.342625,204.476875,197.7285,193.60175,190.562875,187.903625,248.2695,220.40375,2.888043
2056,6.112,4.995,4.025,13.2075,1.97,2.945,9.365,4.995,4.025,1.97,2.945,11.6545,4.878374,0.969877,0.895189,0.948826,37564.425,27945.575,5195.34,434.3565,43053.8875,38131.0625,38396.325,29888.9625,6087.725,124.263025,0.990356,0.778952,37993.9875,141.5465,64.101637,68.086125,71.010913,67.171638,41.29135,58.495425,0.246172,2.945063,-0.799955,1.234679,70.894125,175.757,183.834625,184.040875,203.458125,67.260162,120.358375,207.820625,200.453125,196.129875,192.413375,189.866125,247.787625,220.563,2.447911
2057,6.119,10.44,8.7725,41.4725,5.9575,13.595,132.0225,10.44,8.7725,5.9575,13.595,11.7485,4.829838,0.968345,0.893808,0.947025,37696.6125,29816.4875,5146.23125,497.656662,44298.2125,40028.4625,39344,30722.7625,6164.68625,123.036397,0.98943,0.7809,38923.6125,146.11875,64.36415,67.76295,70.876762,67.26945,41.4188,58.107487,0.229976,3.766622,-0.701069,2.047751,68.540913,175.375375,186.508375,183.930625,204.232375,68.779825,121.851375,209.09675,201.536625,197.144625,193.093,190.97075,249.562375,222.926625,2.483631
2058,6.148,6.14,4.685,16.0875,2.0425,4.97,24.76,6.14,4.685,2.0425,4.97,11.42075,4.1426,0.962228,0.888361,0.941548,37782.6375,32718.2125,5681.34,981.628,43453.025,38604.0875,38520.9875,30454.9625,6383.8225,9.95288,0.994925,0.789613,38317.4875,146.01125,64.76235,67.302863,70.910087,69.281813,40.805937,57.147462,0.239694,3.944992,-0.744205,2.130889,72.078487,175.2505,204.2085,184.029875,204.30625,76.02185,125.337,217.428875,207.339125,202.1555,196.756625,192.539,242.61775,223.476875,2.670061
