Iteration,Rolling Sizes CDunit,Rolling Sizes FB554,Rolling Sizes AlCon,Shift Hours AlCon,Shift Hours FB554,R-squared,Adj R-Squared,F-statistic,Prob (F-statistic)
3818,10,10,28,-6,4,0.795866169,0.795617118,3195.591767,0
3819,10,10,28,-6,6,0.795866169,0.795617118,3195.591767,0
3820,10,10,28,-6,8,0.795866169,0.795617118,3195.591767,0
3821,10,10,28,-8,2,0.795866169,0.795617118,3195.591767,0
3822,10,10,28,-8,4,0.795866169,0.795617118,3195.591767,0
3823,10,10,28,-8,6,0.795866169,0.795617118,3195.591767,0
3824,10,10,28,-8,8,0.795866169,0.795617118,3195.591767,0
3793,10,10,26,-2,2,0.79586602,0.795616969,3195.588843,0
3794,10,10,26,-2,4,0.79586602,0.795616969,3195.588843,0
3795,10,10,26,-2,6,0.79586602,0.795616969,3195.588843,0
3796,10,10,26,-2,8,0.79586602,0.795616969,3195.588843,0
3797,10,10,26,-4,2,0.79586602,0.795616969,3195.588843,0
3798,10,10,26,-4,4,0.79586602,0.795616969,3195.588843,0
3799,10,10,26,-4,6,0.79586602,0.795616969,3195.588843,0
3800,10,10,26,-4,8,0.79586602,0.795616969,3195.588843,0
3801,10,10,26,-6,2,0.79586602,0.795616969,3195.588843,0
3802,10,10,26,-6,4,0.79586602,0.795616969,3195.588843,0
3803,10,10,26,-6,6,0.79586602,0.795616969,3195.588843,0
3804,10,10,26,-6,8,0.79586602,0.795616969,3195.588843,0
3805,10,10,26,-8,2,0.79586602,0.795616969,3195.588843,0
3806,10,10,26,-8,4,0.79586602,0.795616969,3195.588843,0
3807,10,10,26,-8,6,0.79586602,0.795616969,3195.588843,0
3808,10,10,26,-8,8,0.79586602,0.795616969,3195.588843,0
2705,8,10,10,-2,2,0.794615286,0.794364708,3171.137201,0
2706,8,10,10,-2,4,0.794615286,0.794364708,3171.137201,0
2707,8,10,10,-2,6,0.794615286,0.794364708,3171.137201,0
2708,8,10,10,-2,8,0.794615286,0.794364708,3171.137201,0
2709,8,10,10,-4,2,0.794615286,0.794364708,3171.137201,0
