Date,425 SAO Al
2015-05-08 05:00:00,6.224
2015-05-09 05:00:00,6.305
2015-05-10 05:00:00,6.319
2015-05-11 05:00:00,6.113
2015-05-14 05:00:00,5.995
2015-05-15 05:00:00,5.86
2015-05-16 05:00:00,5.918
2015-05-18 05:00:00,5.998
2015-05-19 05:00:00,6.062
2015-05-20 05:00:00,6.052
2015-05-21 05:00:00,6.089
2015-05-22 05:00:00,6.111
2015-05-23 05:00:00,6.034
2015-05-24 05:00:00,6.075
2015-05-25 05:00:00,6.07
2015-05-26 05:00:00,5.971
2015-05-28 05:00:00,6.057
2015-05-29 05:00:00,6.148
2015-05-30 05:00:00,6.024
2015-05-31 05:00:00,5.889
2015-06-03 05:00:00,6.132
2015-06-04 05:00:00,6.126
2015-06-05 05:00:00,6.15
2015-06-06 05:00:00,6.171
2015-06-07 05:00:00,6.088
2015-06-08 05:00:00,6.063
2015-06-09 05:00:00,6.027
2015-06-11 05:00:00,6.121
2015-06-12 05:00:00,6.04
2015-06-13 05:00:00,5.963
2015-06-14 05:00:00,5.944
2015-06-15 05:00:00,5.965
2015-06-16 05:00:00,5.97
2015-06-17 05:00:00,5.85
2015-06-18 05:00:00,5.791
2015-06-19 05:00:00,6.093
2015-06-20 05:00:00,6.081
2015-06-21 05:00:00,6.133
2015-06-22 05:00:00,6.23
2015-06-23 05:00:00,6.045
2015-06-24 05:00:00,6.015
2015-06-26 05:00:00,5.92
2015-06-27 05:00:00,5.648
2015-06-28 04:00:00,5.52
2015-06-28 05:00:00,5.52
2015-06-29 05:00:00,5.561
2015-07-02 05:00:00,6.141
2015-07-03 05:00:00,6.075
2015-07-04 05:00:00,5.638
2015-07-05 05:00:00,5.985
2015-07-06 05:00:00,6.208
2015-07-07 05:00:00,6.444
2015-07-08 05:00:00,6.196
2015-07-09 05:00:00,6.218
2015-07-10 05:00:00,6.216
2015-07-11 05:00:00,6.405
2015-07-12 05:00:00,6.419
2015-07-14 05:00:00,6.34
2015-07-15 05:00:00,6.343
2015-07-17 05:00:00,6.136
2015-07-18 05:00:00,6.433
2015-07-19 05:00:00,6.382
2015-07-20 05:00:00,6.328
2015-07-21 05:00:00,6.131
2015-07-22 05:00:00,5.971
2015-07-23 05:00:00,5.83
2015-07-24 05:00:00,5.856
2015-07-25 05:00:00,5.389
2015-07-26 05:00:00,5.901
2015-07-27 05:00:00,5.721
2015-07-28 05:00:00,5.634
2015-07-29 05:00:00,5.887
2015-07-30 05:00:00,5.952
2015-07-31 05:00:00,6.243
2015-08-01 05:00:00,6.201
2015-08-03 05:00:00,6.057
2015-08-04 05:00:00,6.323
2015-08-05 05:00:00,6.343
2015-08-06 05:00:00,6.35
2015-08-07 05:00:00,6.479
2015-08-08 05:00:00,6.303
2015-08-09 05:00:00,6.223
2015-08-10 05:00:00,6.341
2015-08-11 05:00:00,6.301
2015-08-12 05:00:00,6.514
2015-08-13 05:00:00,6.524
2015-08-14 05:00:00,6.99
2015-08-15 05:00:00,6.877
2015-08-16 05:00:00,6.644
2015-08-17 05:00:00,6.52
2015-08-19 05:00:00,6.337
2015-08-21 05:00:00,6.248
2015-08-22 05:00:00,6.197
2015-08-23 05:00:00,5.922
2015-08-24 05:00:00,6.117
2015-08-25 05:00:00,6.13
2015-08-26 05:00:00,6.116
2015-08-27 05:00:00,6.289
2015-08-29 05:00:00,6.244
2015-08-30 05:00:00,6.208
2015-08-31 05:00:00,6.179
2015-09-01 05:00:00,6.285
2015-09-05 05:00:00,6.496
2015-09-07 05:00:00,6.406
2015-09-09 05:00:00,6.234
2015-09-12 05:00:00,6.1
2015-09-13 05:00:00,6.261
2015-09-14 05:00:00,6.272
2015-09-15 05:00:00,6.479
